t_sec,target_speed_mmps,measured_speed_mmps,brake_percent,flags,fault_bits,target_steer_millirad,measured_steer_millirad
17.8423,0,0,0,2,2,0,46
17.8929,0,0,0,2,2,0,49
17.9429,0,0,0,2,2,0,61
17.9924,0,0,0,2,2,0,52
18.0429,0,0,0,2,2,0,49
18.0926,0,0,0,2,2,0,58
18.1421,0,0,0,2,2,0,55
18.1925,0,0,0,2,2,0,52
18.2419,0,0,0,2,2,0,58
18.2925,0,0,0,2,2,0,52
18.3425,0,0,0,2,2,0,52
18.3931,0,0,0,2,2,0,61
18.4419,0,0,0,2,2,0,49
18.4923,0,0,0,2,2,0,58
18.5421,0,0,0,2,2,0,55
18.5924,0,0,0,2,2,0,58
18.6431,0,0,0,2,2,0,61
18.6924,0,0,0,2,2,0,61
18.7424,0,0,0,2,2,0,58
18.7921,0,0,0,2,2,0,55
18.8424,0,0,0,2,2,0,49
18.8922,0,0,0,2,2,0,52
18.9426,0,0,0,2,2,0,49
18.9927,0,0,0,2,2,0,58
19.0424,0,0,0,2,2,0,79
19.0924,0,0,0,2,2,0,58
19.1424,0,0,0,2,2,0,49
19.1924,0,0,0,2,2,0,49
19.2421,0,0,0,2,2,0,46
19.2921,0,0,0,2,2,0,46
19.3431,0,0,0,2,2,0,52
19.3925,0,0,0,2,2,0,55
19.4425,0,0,0,2,2,0,52
19.4924,0,0,0,2,2,0,58
19.5424,0,0,0,2,2,0,49
19.593,0,0,0,2,2,0,40
19.6424,0,0,0,2,2,0,58
19.6929,0,0,0,2,2,0,61
19.7421,0,0,0,2,2,0,58
19.7926,0,0,0,2,2,0,43
19.843,0,0,0,2,2,0,49
19.8924,0,0,0,2,2,0,46
19.9425,0,0,0,2,2,0,55
19.992,0,0,0,2,2,0,52
20.0423,0,0,0,2,2,0,55
20.0924,0,0,0,2,2,0,46
20.1424,0,0,0,2,2,0,70
20.1925,0,0,0,2,2,0,49
20.2431,0,0,0,2,2,0,61
20.2923,0,0,0,2,2,0,55
20.3425,0,0,0,2,2,0,70
20.3924,0,0,0,2,2,0,49
20.4422,0,0,0,2,2,0,55
20.4926,0,0,0,2,2,0,46
20.542,0,0,0,2,2,0,58
20.5924,0,0,0,2,2,0,58
20.6424,0,0,0,2,2,0,52
20.6928,0,0,0,2,2,0,49
20.7424,0,0,0,2,2,0,58
20.7921,0,0,0,2,2,0,58
20.842,0,0,0,2,2,0,55
20.8921,0,0,0,2,2,0,49
20.9427,0,0,0,2,2,0,46
20.9921,0,0,0,2,2,0,55
21.042,0,0,0,2,2,0,58
21.0925,0,0,0,2,2,0,49
21.1428,0,0,0,2,2,0,52
21.1924,0,0,0,2,2,0,52
21.2423,0,0,0,2,2,0,58
21.2923,0,0,0,2,2,0,46
21.3429,0,0,0,2,2,0,55
21.3923,0,0,0,2,2,0,37
21.4422,0,0,0,2,2,0,61
21.4924,0,0,0,2,2,0,55
21.5427,0,0,0,2,2,0,49
21.5924,0,0,0,2,2,0,43
21.6419,0,0,0,2,2,0,58
21.6926,0,0,0,2,2,0,46
21.7421,0,0,0,2,2,0,55
21.7921,0,0,0,2,2,0,46
21.8421,0,0,0,2,2,0,58
21.8918,0,0,0,2,2,0,52
21.9425,0,0,0,2,2,0,61
21.9924,0,0,0,2,2,0,49
22.0424,0,0,0,2,2,0,46
22.0925,0,0,0,2,2,0,52
22.1429,0,0,0,2,2,0,46
22.1919,0,0,0,2,2,0,49
22.2426,0,0,0,2,2,0,49
22.2923,0,0,0,2,2,0,58
22.3428,0,0,0,2,2,0,58
22.3921,0,0,0,2,2,0,46
22.4424,0,0,0,2,2,0,55
22.4924,0,0,0,2,2,0,52
22.5425,0,0,0,2,2,0,55
22.5928,0,0,0,2,2,0,55
22.6419,0,0,0,2,2,0,58
22.6921,0,0,0,2,2,0,52
22.7423,0,0,0,2,2,0,52
22.7919,0,0,0,2,2,0,61
22.8423,0,0,0,2,2,0,49
22.8921,0,0,0,2,2,0,46
22.9423,0,0,0,2,2,0,49
22.993,0,0,0,2,2,0,49
23.0424,0,0,0,2,2,0,58
23.0921,0,0,0,2,2,0,61
23.1422,0,0,0,2,2,0,70
23.1924,0,0,0,2,2,0,58
23.2424,0,0,0,2,2,0,58
23.2923,0,0,0,2,2,0,49
23.3421,0,0,0,2,2,0,58
23.3922,0,0,0,2,2,0,55
23.4419,0,0,0,2,2,0,58
23.4922,0,0,0,2,2,0,52
23.5432,0,0,0,2,2,0,55
23.5924,0,0,0,2,2,0,49
23.6423,0,0,0,2,2,0,55
23.6924,0,0,0,2,2,0,55
23.7423,0,0,0,2,2,0,58
23.7926,0,0,0,2,2,0,52
23.8427,0,0,0,2,2,0,37
23.8925,0,0,0,2,2,0,61
23.942,0,0,0,2,2,0,67
23.9922,0,0,0,2,2,0,49
24.0426,0,0,0,2,2,0,61
24.0926,0,0,0,2,2,0,43
24.1424,0,0,0,2,2,0,49
24.192,0,0,0,2,2,0,49
24.242,0,0,0,2,2,0,46
24.2918,0,0,0,2,2,0,58
24.342,0,0,0,2,2,0,55
24.3922,0,0,0,2,2,0,49
24.4429,0,0,0,2,2,0,55
24.4923,0,0,0,2,2,0,55
24.5431,0,0,0,2,2,0,37
24.5923,0,0,0,2,2,0,73
24.642,0,0,0,2,2,0,55
24.6918,0,0,0,2,2,0,52
24.742,0,0,0,2,2,0,49
24.7922,0,0,0,2,2,0,58
24.8422,0,0,0,2,2,0,58
24.892,0,0,0,2,2,0,52
24.9419,0,0,0,2,2,0,52
24.9919,0,0,0,2,2,0,58
25.0435,0,0,0,2,2,0,61
25.0929,0,0,0,2,2,0,49
25.1419,0,0,0,2,2,0,49
25.192,0,0,0,2,2,0,58
25.2419,0,0,0,2,2,0,40
25.2927,0,0,0,1,0,0,46
25.342,0,0,0,1,0,0,52
25.392,0,0,0,1,0,0,70
25.4424,0,0,0,1,0,0,52
25.4922,0,0,0,1,0,0,64
25.5434,0,0,0,1,0,0,49
25.5927,0,0,0,1,0,0,58
25.6425,0,0,0,1,0,0,58
25.6928,0,0,0,1,0,0,49
25.7422,0,0,0,1,0,0,49
25.7925,0,0,0,1,0,0,70
25.842,0,0,0,1,0,0,58
25.8924,0,0,0,1,0,0,46
25.942,0,0,0,1,0,0,55
25.9922,0,0,0,1,0,0,58
26.0423,0,0,0,1,0,0,55
26.0923,0,0,0,1,0,0,52
